,PaymentMethod_x,PaymentMethod_y
1848,Mailed check,Mailed check
1849,Electronic check,Electronic check
1850,Credit card (automatic),Credit card (automatic)
1851,Electronic check,Electronic check
1852,Credit card (automatic),Credit card (automatic)
1853,Electronic check,Electronic check
1854,Electronic check,Electronic check
1855,Mailed check,Mailed check
1856,Credit card (automatic),Credit card (automatic)
1857,Credit card (automatic),Credit card (automatic)
1858,Electronic check,Electronic check
1859,Electronic check,Electronic check
1860,Mailed check,Mailed check
1861,Mailed check,Mailed check
1862,Electronic check,Electronic check
1863,Mailed check,Mailed check
1864,Mailed check,Mailed check
1865,Electronic check,Electronic check
1866,Bank transfer (automatic),Bank transfer (automatic)
1867,Electronic check,Electronic check
1868,Bank transfer (automatic),Bank transfer (automatic)
1869,Credit card (automatic),Credit card (automatic)
1870,Mailed check,Mailed check
1871,Electronic check,Electronic check
1872,Bank transfer (automatic),Bank transfer (automatic)
1873,Credit card (automatic),Credit card (automatic)
1874,Credit card (automatic),Credit card (automatic)
1875,Credit card (automatic),Credit card (automatic)
1876,Credit card (automatic),Credit card (automatic)
1877,Credit card (automatic),Credit card (automatic)
1878,Credit card (automatic),Credit card (automatic)
1879,Electronic check,Credit card (automatic)
1880,Electronic check,Electronic check
1881,Bank transfer (automatic),Bank transfer (automatic)
1882,Mailed check,Mailed check
1883,Bank transfer (automatic),Bank transfer (automatic)
1884,Bank transfer (automatic),Bank transfer (automatic)
1885,Credit card (automatic),Credit card (automatic)
1886,Bank transfer (automatic),Bank transfer (automatic)
1887,Electronic check,Electronic check
1888,Bank transfer (automatic),Bank transfer (automatic)
1889,Mailed check,Mailed check
1890,Electronic check,Credit card (automatic)
1891,Mailed check,Mailed check
1892,Credit card (automatic),Credit card (automatic)
1893,Electronic check,Electronic check
1894,Electronic check,Electronic check
1895,Bank transfer (automatic),Bank transfer (automatic)
1896,Electronic check,Electronic check
1897,Bank transfer (automatic),Bank transfer (automatic)
1898,Electronic check,Electronic check
1899,Credit card (automatic),Credit card (automatic)
1900,Mailed check,Mailed check
1901,Electronic check,Electronic check
1902,Credit card (automatic),Credit card (automatic)
1903,Electronic check,Electronic check
1904,Electronic check,Bank transfer (automatic)
1905,Mailed check,Mailed check
1906,Credit card (automatic),Credit card (automatic)
1907,Electronic check,Electronic check
1908,Credit card (automatic),Credit card (automatic)
1909,Mailed check,Mailed check
1910,Electronic check,Electronic check
1911,Credit card (automatic),Credit card (automatic)
1912,Bank transfer (automatic),Bank transfer (automatic)
1913,Electronic check,Credit card (automatic)
1914,Electronic check,Electronic check
1915,Credit card (automatic),Credit card (automatic)
1916,Bank transfer (automatic),Bank transfer (automatic)
1917,Credit card (automatic),Credit card (automatic)
1918,Electronic check,Electronic check
1919,Mailed check,Mailed check
1920,Bank transfer (automatic),Bank transfer (automatic)
1921,Credit card (automatic),Credit card (automatic)
1922,Electronic check,Electronic check
1923,Bank transfer (automatic),Bank transfer (automatic)
1924,Bank transfer (automatic),Bank transfer (automatic)
1925,Bank transfer (automatic),Bank transfer (automatic)
1926,Electronic check,Electronic check
1927,Bank transfer (automatic),Bank transfer (automatic)
1928,Mailed check,Mailed check
1929,Electronic check,Electronic check
1930,Electronic check,Electronic check
1931,Bank transfer (automatic),Bank transfer (automatic)
1932,Mailed check,Mailed check
1933,Mailed check,Mailed check
1934,Electronic check,Electronic check
1935,Bank transfer (automatic),Bank transfer (automatic)
1936,Bank transfer (automatic),Bank transfer (automatic)
1937,Mailed check,Mailed check
1938,Mailed check,Mailed check
1939,Mailed check,Mailed check
1940,Electronic check,Bank transfer (automatic)
1941,Mailed check,Mailed check
1942,Credit card (automatic),Credit card (automatic)
1943,Credit card (automatic),Credit card (automatic)
1944,Mailed check,Mailed check
1945,Bank transfer (automatic),Bank transfer (automatic)
1946,Credit card (automatic),Credit card (automatic)
1947,Bank transfer (automatic),Bank transfer (automatic)
1948,Electronic check,Bank transfer (automatic)
1949,Bank transfer (automatic),Bank transfer (automatic)
1950,Bank transfer (automatic),Bank transfer (automatic)
1951,Credit card (automatic),Credit card (automatic)
1952,Bank transfer (automatic),Bank transfer (automatic)
1953,Electronic check,Electronic check
1954,Electronic check,Credit card (automatic)
1955,Bank transfer (automatic),Bank transfer (automatic)
1956,Bank transfer (automatic),Bank transfer (automatic)
1957,Electronic check,Electronic check
1958,Bank transfer (automatic),Bank transfer (automatic)
1959,Electronic check,Bank transfer (automatic)
1960,Credit card (automatic),Credit card (automatic)
1961,Bank transfer (automatic),Bank transfer (automatic)
1962,Credit card (automatic),Credit card (automatic)
1963,Bank transfer (automatic),Bank transfer (automatic)
1964,Mailed check,Mailed check
1965,Bank transfer (automatic),Bank transfer (automatic)
1966,Credit card (automatic),Credit card (automatic)
1967,Credit card (automatic),Credit card (automatic)
1968,Mailed check,Mailed check
1969,Electronic check,Credit card (automatic)
1970,Electronic check,Electronic check
1971,Credit card (automatic),Credit card (automatic)
1972,Electronic check,Electronic check
1973,Electronic check,Electronic check
1974,Electronic check,Electronic check
1975,Mailed check,Mailed check
1976,Electronic check,Electronic check
1977,Electronic check,Electronic check
1978,Mailed check,Mailed check
1979,Bank transfer (automatic),Bank transfer (automatic)
1980,Electronic check,Bank transfer (automatic)
1981,Credit card (automatic),Credit card (automatic)
1982,Mailed check,Mailed check
1983,Mailed check,Mailed check
1984,Bank transfer (automatic),Bank transfer (automatic)
1985,Mailed check,Mailed check
1986,Bank transfer (automatic),Bank transfer (automatic)
1987,Bank transfer (automatic),Bank transfer (automatic)
1988,Electronic check,Electronic check
1989,Credit card (automatic),Credit card (automatic)
1990,Electronic check,Electronic check
1991,Credit card (automatic),Credit card (automatic)
1992,Electronic check,Electronic check
1993,Electronic check,Electronic check
1994,Mailed check,Mailed check
1995,Electronic check,Electronic check
1996,Mailed check,Mailed check
1997,Bank transfer (automatic),Bank transfer (automatic)
1998,Electronic check,Mailed check
1999,Electronic check,Mailed check
2000,Credit card (automatic),Credit card (automatic)
2001,Mailed check,Mailed check
2002,Credit card (automatic),Credit card (automatic)
2003,Electronic check,Electronic check
2004,Mailed check,Mailed check
2005,Mailed check,Mailed check
2006,Electronic check,Electronic check
2007,Electronic check,Electronic check
2008,Mailed check,Mailed check
2009,Bank transfer (automatic),Bank transfer (automatic)
2010,Bank transfer (automatic),Bank transfer (automatic)
2011,Electronic check,Electronic check
2012,Electronic check,Electronic check
2013,Credit card (automatic),Credit card (automatic)
2014,Bank transfer (automatic),Bank transfer (automatic)
2015,Mailed check,Mailed check
2016,Electronic check,Electronic check
2017,Bank transfer (automatic),Bank transfer (automatic)
2018,Mailed check,Mailed check
2019,Electronic check,Electronic check
2020,Mailed check,Mailed check
2021,Mailed check,Mailed check
2022,Electronic check,Electronic check
2023,Electronic check,Electronic check
2024,Electronic check,Electronic check
2025,Bank transfer (automatic),Bank transfer (automatic)
2026,Bank transfer (automatic),Bank transfer (automatic)
2027,Mailed check,Mailed check
2028,Mailed check,Mailed check
2029,Credit card (automatic),Credit card (automatic)
2030,Bank transfer (automatic),Bank transfer (automatic)
2031,Mailed check,Mailed check
2032,Electronic check,Credit card (automatic)
2033,Mailed check,Mailed check
2034,Bank transfer (automatic),Bank transfer (automatic)
2035,Electronic check,Credit card (automatic)
2036,Electronic check,Electronic check
2037,Mailed check,Mailed check
2038,Electronic check,Electronic check
2039,Electronic check,Electronic check
2040,Bank transfer (automatic),Bank transfer (automatic)
2041,Mailed check,Mailed check
2042,Bank transfer (automatic),Bank transfer (automatic)
2043,Electronic check,Credit card (automatic)
2044,Mailed check,Mailed check
2045,Bank transfer (automatic),Bank transfer (automatic)
2046,Mailed check,Mailed check
2047,Electronic check,Bank transfer (automatic)
2048,Bank transfer (automatic),Bank transfer (automatic)
2049,Bank transfer (automatic),Bank transfer (automatic)
2050,Bank transfer (automatic),Bank transfer (automatic)
2051,Mailed check,Mailed check
2052,Electronic check,Electronic check
2053,Bank transfer (automatic),Bank transfer (automatic)
2054,Electronic check,Electronic check
2055,Credit card (automatic),Credit card (automatic)
2056,Bank transfer (automatic),Bank transfer (automatic)
2057,Electronic check,Bank transfer (automatic)
2058,Bank transfer (automatic),Bank transfer (automatic)
2059,Electronic check,Bank transfer (automatic)
2060,Electronic check,Mailed check
2061,Electronic check,Electronic check
2062,Credit card (automatic),Credit card (automatic)
2063,Bank transfer (automatic),Bank transfer (automatic)
2064,Bank transfer (automatic),Bank transfer (automatic)
2065,Electronic check,Electronic check
2066,Mailed check,Mailed check
2067,Bank transfer (automatic),Bank transfer (automatic)
2068,Mailed check,Mailed check
2069,Electronic check,Credit card (automatic)
2070,Credit card (automatic),Credit card (automatic)
2071,Credit card (automatic),Credit card (automatic)
2072,Bank transfer (automatic),Bank transfer (automatic)
2073,Mailed check,Mailed check
2074,Credit card (automatic),Credit card (automatic)
2075,Electronic check,Electronic check
2076,Credit card (automatic),Credit card (automatic)
2077,Electronic check,Electronic check
2078,Mailed check,Mailed check
2079,Electronic check,Credit card (automatic)
2080,Credit card (automatic),Credit card (automatic)
2081,Credit card (automatic),Credit card (automatic)
2082,Mailed check,Mailed check
2083,Mailed check,Mailed check
2084,Bank transfer (automatic),Bank transfer (automatic)
2085,Electronic check,Electronic check
2086,Electronic check,Electronic check
2087,Electronic check,Credit card (automatic)
2088,Electronic check,Electronic check
2089,Credit card (automatic),Credit card (automatic)
2090,Credit card (automatic),Credit card (automatic)
2091,Credit card (automatic),Credit card (automatic)
2092,Credit card (automatic),Credit card (automatic)
2093,Credit card (automatic),Credit card (automatic)
2094,Mailed check,Mailed check
2095,Electronic check,Electronic check
2096,Electronic check,Electronic check
2097,Electronic check,Electronic check
2098,Mailed check,Mailed check
2099,Credit card (automatic),Credit card (automatic)
2100,Bank transfer (automatic),Bank transfer (automatic)
2101,Electronic check,Electronic check
2102,Credit card (automatic),Credit card (automatic)
2103,Electronic check,Mailed check
2104,Credit card (automatic),Credit card (automatic)
2105,Electronic check,Electronic check
2106,Credit card (automatic),Credit card (automatic)
2107,Electronic check,Electronic check
2108,Bank transfer (automatic),Bank transfer (automatic)
2109,Bank transfer (automatic),Bank transfer (automatic)
2110,Electronic check,Bank transfer (automatic)
2111,Mailed check,Mailed check
2112,Electronic check,Electronic check
2113,Credit card (automatic),Credit card (automatic)
2114,Mailed check,Mailed check
2115,Electronic check,Electronic check
2116,Electronic check,Electronic check
2117,Bank transfer (automatic),Bank transfer (automatic)
2118,Electronic check,Mailed check
2119,Bank transfer (automatic),Bank transfer (automatic)
2120,Mailed check,Mailed check
2121,Mailed check,Mailed check
2122,Mailed check,Mailed check
2123,Electronic check,Electronic check
2124,Electronic check,Credit card (automatic)
2125,Electronic check,Mailed check
2126,Mailed check,Mailed check
2127,Electronic check,Electronic check
2128,Credit card (automatic),Credit card (automatic)
2129,Electronic check,Electronic check
2130,Electronic check,Bank transfer (automatic)
